idx,유저,챗봇
31,상품받았습니다. 제조년 월일별도표기라고 되어 있는데 어디에 표기되어 있다는 건가요?,제조일은 제품마다 날짜가 찍혀 있으니 핫팩의 비닐 포장 아래쪽을 살펴봐 주시기 바랍니다.
32,"상품받았는데, 제조년월이 어디에 찍혀 있을까요?",일반형 핫팩의 경우 10매입 포장지의 아래면을 살펴봐 주시면 제조일자가 표기되어 있어요.
33,"배송 추적 눌러보면 운송장이 조회가 안 되는 운송장이라고 나오는데 어제부터 이 상태던데, 어떻게 된 걸까요?",저희 측에서는 정상 출고가 진행되었으나 택배사 분류 및 발송 과정에서 누락이나 분실 등이 있었던 것으로 추정됩니다.
34,올해 주문한 핫팩이 많이 남아 있는데 유통기한이 어떻게 되나요?,제품의 사용기한은 표기된 제조일로부터 3년이며 보관하실 때는 밀봉된 비닐 포장의 밀봉 상태를 잘 보존해 주셔야 합니다.
35,발팩 있죠?,상품은 이번 겨울 생산분이 모두소진되어 재입고는 어렵다는 점 양해 부탁드려요.
36,지금 주문했는데 언제쯤 받아볼수 있을까요?,주문하신 제품은 금일 정상 출고되었어요. 주말 인 관계로 택배사의 분류 및 배달과정에서 지연이 없다면 월요일쯤 받아보실수 있을 거라 생각됩니다.
37,곰돌이 발 핫팩 재입고 언제 될까요?,상품은 올해 생산분이 모두소진되어 재입고는 어렵다는 점 양해 부탁드려요.
38,,
39,발핫팩은 완전품절인가요?,상품은 올해 생산분이 모두소진되어 재입고는 어렵다는 점 양해 부탁드려요.
40,발바닥 핫팩은 품절이네요?,발난로 핫팩은 올해 생산분이 모두소진되어 재입고는 어렵다는 점 양해 부탁드려요.
41,오늘 핫팩을 받앗는데 2017. 2. 01이라고 되어 잇면 그저께 제조한 제품이란 말인가요?,저희 ooo은 언제나 최신 제품으로만 출고하고 있어요. 고객님께서 확인하신 날짜는 제조일자가 맞으며 생산 즉시 출고된 상품을 받아보셨습니다.
42,두번 주문했는데 핫팩 봉지에 찢는 부분이 없어서 불편하던 데 원래 그렇게 제작된 건가요?,핫팩이 대량으로 기계 생산이 되는 부분으로 칼날이 무디어져 자르는 곳의 표시가 되지 않았던 부분인 것 같습니다.
43,설마분실이거나 발송 안 된 던 아니죠?,현재 송장조회상 고객님의 주소지역으로 상차 스캔이 되어 있는 것을 확인했습니다.
44,,
45,남동생 혹한기 전에 보내주려고 하는데 오늘 주문하면 목요일 안으로 배송 가능한가요?,금일은 택배 배송 마감으로 오늘 결제하신 주문건은 내일 오전 출고되오나 설날 명절로 인해 택배 물량이 증가하여 배송이 지연될수 있으니 참고 부탁드립니다.
46,무슨 택배사로 배송될까?,ooo은 oooo 택배로 배송되어 지니 참고 부탁드립니다.
47,,
48,방금 시켰는데 내일까지 받아보기는 힘들까요?,현재 송장조회상 고객님의 주소지역으로 상차 스캔이 되어 있는 것을 확인했습니다.
49,,
50,,
51,뜯었을 때 물기가 있는데 왜 이런 거죠?,우선 핫팩 제조 과정에 대해 말씀드리자면 활성탄 기타 자재들을 철분 및 배합하여 부직포 내에 넣어 제품이 제작되어지는데 이 과정에서 산화현상으로 발열이 시작되어집니다.
52,넥워머 차콜성 인용입고 예정 없겠죠,상품은 올해 생산분이 모두소진되어 재입고는 어렵다는 점 양해 부탁드려요.
53,,
54,"무릎 보호대가 품절이던데, 언제쯤 입고될까요?",상품은 올해 생산분이 모두소진되어 재입고는 어렵다는 점 양해 부탁드려요.
55,,
56,급하게 필요하여 구매하였는데 바쁘시겠지만 내일까지 받을수 있을까요?,주문하신 제품은 금일 정상 출고 예정이에요. 대부분 익일배송이 되어 지나 택배사의 분류 및 배달과정에서 지연이 있을수 있어요.
57,,
58,방금 주문했어요. 금요일까지 받을수 있을까요?,주문하신 상품 금일 정상 출고될 예정이오니 참고 부탁드립니다.
59,결재도 했구요 제가 급해서 그러는데 오늘 발송이 될까요?,주문하신 상품 금일 정상 출고될 예정이오니 참고 부탁드립니다.
60,,
61,ooo oo로 받아볼수 있을까요?,저희는 oooo를 사용하고 있으며 전국 군부대로의 배송이 가능합니다만 ooo oo 발송은 불가합니다.
62,몇 개에 10800원이라는 말씀이죠?,핫팩의 종류별로수량이 다르답니다. 일반형 핫팩은 30매 혹한기형 핫팩은 15매 파스형 핫팩은 20매 등 등 옵션 선택 하시며 수량을핫팩의 종류별로 확인하실수 있으니 확인 부탁드립니다.
63,곰돌이 발 핫팩 품절인데 언제 들어와요?,발난로 핫팩은 다음주 정도 재입고될 예정이오니 참고 부탁드립니다.
64,일부러 더 싼 거안 사고 이거 샀는데 이번 겨울 참 힘들게 보내고 있네요. 이런 물건 파시 고양심에 안 찔리세요?,주문하신 제품은 올해 생산된 신형 제품으로 출고되었으며 제품 내에 제조일자가 표기되어 있으니 제품 확인 부탁드립니다.
65,,
66,,
67,발핫팩 품절인데 언제 입고되나 영?,발난로 핫팩은 재입고 일정이 확인되바가 없어 안내해드리기 어렵습니다.
68,,
69,토요일에 배송 나갈수 있나요?,주문하신 상품 금일 정상 출고될 예정이오니 참고 부탁드립니다.
70,발핫팩이랑 일반형 시켰는데 일반은 굉장히 뜨겁고 만족하는데 발핫팩은 하나도 안 따뜻해요원래 이런 건가요 아님 불량인 건가요?,우선 핫팩의 발열 원리에 대해 말씀드리자면 밀봉되어진 외부 봉투를 개봉하면서 부직포 내의 철 성분이 공기 중의 산소와 결합하여 일어나는 산화반응을 통해 발열이 되어집니다.
71,상품에 이상이 생겨서 그런 걸까요?,현재 송장조회상 고객님의 주소지역으로 하차 스캔이 되어 있는 것을 확인했습니다.
72,혹시 택배사가 어디인가요?,저희는 oooo를 사용하고 있으며 전국 군부대로의 배송이 가능해요.
73,초대형 핫팩 언제 입고되겠죠,초대형 캠핑용 핫팩은 재입고가 어려울 것으로 보입니다.
74,넥워머 챠콜은 더 안 들어오나요?,넥워머 차콜과 무릎보호대는 이번 년도 생산분이 모두소진되어 재입고는 어렵습니다.
75,ooo더블 미니언제 재입고됩니까?,더블 미니 핫팩은 현재 품절이 오며 다음 주 중으로 재입고 예정이에요.
76,,
77,공항 반입도 될까?,실제 공항 반입 여부에 대해서는 저희가 정확히 알지는 못합니다. 하지만 해외여행 시 잘 사용했다는 후기들은 많이 있어요.
78,더블 미니 재입고 언제 되져?,더블 미니 핫팩은 현재 품절이 오며 다음 주 중으로 구매 가능하답니다.
79,,
80,허리 찜질 보호대는 언제 입고되겠죠,현재 허리보호대 재입고되어 구매하실수 있어요. 다시 한 번 확인 부탁드립니다.
81,,
82,파스형은 어떻게 해야 따뜻해지는 거예요?,파스형 제품은 일반 손난로 제품과는 달리 은은한 열이 지속적으로 나도록 설계되었어요.
83,봉투가 약간 훼손되어져 있고 내부 10장이 8장밖에 안 보이네요. 어떻게 하면 좋을까요?,전 화상으로 안내해드렸습니다.
84,진짜 짜증나서 주소도 두군데 따로 보내라고수취인 똑바로 안 써주고 뭔가요?,요청사항을발주 사원이 잘못 이해하여 단순히 주소 변경 건으로 오인하여 단순히 주소만 변경한 것으로 확인됩니다.
85,손에 들고 있으니 손톱 사이에도 살짝 끼구 컴퓨터 키보드에도 가루가 흘렀어요 불량인가요?,우선 KC인증시험성적서상의 지속시간 측정 방법에 대해 설명드리자면 항온 항습이 유지된 황온수조에서 아무런 외부요인이 없이 테스트가 진행됩니다.
86,핫팩가루가 겉으로 묻어나올수 있나요?,우선 KC인증시험성적서상의 지속시간 측정 방법에 대해 설명드리자면 항온 항습이 유지된 황온수조에서 아무런 외부요인이 없이 테스트가 진행됩니다.
87,작년 꺼랑재질이 바꼇나 봐요?,ooo 2016년 형제품은 일본 ooooooo의 나 이론부 직포를 직수입하여 제작되었어요.
88,손목히터서포터 두개 교환 보냈는데 아직 안 받으셨나여?,전 화상으로 안내해드렸습니다.
89,배송 언제 즘 해주시니,주문하신 상품 하자 없는 상품으로 신경 써서 보내드릴게요. 금일 정상 출고되오니 참고 부탁드립니다.
90,,
91,재질이 부직포인 가요?,ooo 2016년 형제품의 부직포는 일본 ooooooo의 나 이론부 직포를 직수입하여 제작되었어요.
92,히팅 서포터 문의 엄마께서 팔뚝이 너무 시렵다 하셔서 팔뚝에 찜질하려면 어떤 타입을 구매해야 되나요?,히팅 서포터의 타입은 상세 페이지에 나와 있는 사이즈 등을 확인하시어 구매해 주시면 좋을 듯합니다.
93,별로 아뜨신데 완전 뜨거워질 때까지 흔들어야 할까요?,우선 KC인증시험성적서상의 지속시간 측정 방법에 대해 설명드리자면 항온 항습이 유지된 황온수조에서 아무런 외부요인이 없이 테스트가 진행됩니다.
94,30일부터 배송 중이라 되어 있긴 한 데 리뷰도 보면 28일 이후부턴 올라온 게 없구 오늘 받아볼수 있는 거겠죠?,배송이 지연되는 점 양해 부탁드려요. 오늘도 좋은 하루 되세요.
95,,
96,오늘 발송되지,주문하신 제품은 금일 정상 출고되었어요. 대부분 익일배송이 되어 지나 택배사의 분류 및 배달과정에서 간혹 지연이 있을수는 있어요.
97,KC인증마크가 제품 박스에는 안 보이는데 확인할 방법이 없나유?,멜트 블로운 필터 맞아요. 멜트 블로운 인증서 받은 것이 아니고 완제품 시험 성적서 받은 것으로 현재 페이지수정 중입니다.
98,마스크 색상 화이트 맞아요?,블루 색상이며 화이트 색상으로 출고되는 경우도 있어요.
99,,
100,,
101,,
102,상품화면과 같나요?,네 같은 제품입니다.
103,언제쯤 받을수 있을까요?,16일 배송 완료입니다.
104,박스이 일어와 여자 그림인 제품인 건가요?,석면 검출마스크와는 다른 제품입니다. 상세 이미지 확인 부탁드립니다.
105,벌크 포장이죠?,1박스에 50개 있는 제품이며 상자 포장으로 배송됩니다. 배송은 현재 당일 배송 진행 중입니다.
106,개인 통관부호 입력해야 하는 건가요?,해외 배송 아니라 국내 배송제품입니다. 통관부호 입력하지 않으셔도 됩니다.
107,오늘 주문하면 늦어도 언제까지 받을수 있을까요?,정말 죄송하게도 금주 출고는 모두마감되었어요. 금일 오후부터 주말 주문건은 월요일부터 순차 출고 진행됩니다.
108,,
109,언제 발송되나요?,3월 17일 이후 출고 예정이에요.
110,물량받아볼수 있을까요?,3월 17일 이후 출고 예정이에요.
111,제품이 성인용 인가요?,성인용으로 제작된 제품입니다.
112,배송이 언제쯤 될까요?,3월 17일 이후 출고 예정이에요.
113,언제쯤 받을수 있는 건가요?,결제일로부터 7일 이내로 출고 진행될 예정이며 송장번호 등록 이후 1 - 3일 이내로수령 가능하십니다.
114,판매자님. 상품이 각각 개별 포장인가요?,10매 50매씩 포장되어 판매되는 제품이며 충분한 재고 입고 진행 중에 있어요.
115,,
116,다른 분들께서 믿고 사용할수 있는 안전한 제품인지를 묻는 말에 판매자님께선 왜 동문서답을 하시나유?,안전한 제품입니다.
117,마스크 구매했는데 재고가 있는 검니까?,상품 페이지의 배송 출발일 확인 부탁드립니다 3월 20일 이후 출고 예정이에요.
118,지금 주문했는데 1 - 3일 내로 국내 배송 가능한 거 맞죠?,판매 페이지에 등록된 출고 예정일 확인 부탁드립니다.
119,냄새가 많이 나서 못 쓰겠다는 분들도 있던 데 냄새가 정말 많이 나져?,마스크 냄새는 거의 없얻요.
120,개별 포장인가요?,개별 포장으로 출고는 어렵습니다. 구매수량에 따라 50매씩 /10매씩 포장됩니다.
121,"파란색이 바깥쪽이고 흰색 쪽이 안으로 가게 착용해야 한다고 했는데, 안과 바깥을 이것은 어떻게 구별해야 하는지요?",마스크 이어밴드가 안쪽으로 가게 사용하시면 됩니다.
122,3/13 도착 가능한가요?,상품 페이지의 배송 출발일 확인 부탁드립니다 3월 20일 이후 출고 예정이에요.
123,현재 판매하는 맬트 브로운 마스크는 흰색은 없나유?,마스크 색상 선택은 어렵습니다. 기본적으로 블루 색상으로 출고되며 입고 시기나 상황에 따라 화이트로 출고될수도 있어요.
124,의료용 마스크가 맞는지요?,일회용 마스크이며 중국 절강성 지역에서 생산되었어요.
125,현재 판매 중인 멜로브로운 필터 마스크 새로 입고된 제품인가요?,멜로블로운 필터 마스크입니다. 중국 생산제품으로 KC인증 마스크입니다.
126,4번 상품 아이들 쓰고 있는데 아래 질문 글보니 문제 있는 제품인 건가요?,구매해주신 제품은 해당 문제 있는 제품과 전혀 관계없는 제품입니다.
127,이게 원래 중국 제품 하나 보내주는 건가요?,구매해주신 상품 옵션 확인 부탁드립니다. 1개씩 판매되는 제품이며 150매는 메인 판매 제품이었던 현재는 품절된 상품 관련입니다.
128,,
129,내부 교체용 필터는 추가로 따로 구매할수 없지,필터는 판매하지 않고 있는 점 양해 부탁드리며 필터의 교체 주기는 일회용으로 의 사용을 권장하고 있어요.
130,배송 언제 되지요,갑작스런 주문 폭주로 인하여 순차적 출고를 진행 중에 있으나 택배사의 물량 증가로 인한 상품 상하차에 지연 도 발생하고 있으며 전체수작업으로 포장이 진행되다보니 지연이 발생하고 있어요.
131,,
132,,
133,일본 제품인가요?,중국에서 만들어진 제품입니다.
134,원산지는 국내 인가요?,원산지 중국입니다.
135,당일 배송 가능한 제품인가요?,ooo에서는 평일 오후 4시까지 결제 완료된 주문건은 당일에 출고되고 있어요.
136,허리 찜질 보호대 언제 재입고되요?,ooo히팅 서포터 허리 전용 제품은 이번 주말 정도 입고 예정이에요. 아마도 다음 주부터 구입이 가능하실 것 같습니다.
137,혹시 핫팩 물 빠짐 있을까요?,물 빠짐이라는 건 없얻요. 하지만 부직포 인쇄 원단의 특성상 과도한 사용시까지 보장해드릴수는 없얻요.
138,넥워머 구입하고 싶은데 언제 입고되니,ooo넥 워머차콜 상품은 현재 품절입니다. 원단 발주에만 40일 이상이 소요되는 제품으로 금년 시즌에 재판매는 어려움이 있어요.
139,허리 보호대 재입고 언제 되지,ooo히팅 서포터 허리 전용 제품은 이번 주말 정도 입고 예정이에요. 아마도 다음 주부터 구입이 가능하실 것 같습니다.
140,허리 보호대 재입고 안되니,현재 허리보호대의 재입고는 다음 주말 정도로 잡혀 있어요. 아마도 다다음 주부터 구입이 가능하실 것 같습니다.
141,,
142,성인 넥 워머차콜 언제 입고됩니까?,넥워머 차콜은 이번 시즌 생산분이 모두소진되어 재입고가 어려우니 참고 부탁드립니다.
143,더블 미니형은 한 포장에 두개가 들어있는 건지 따로 하나씩 포장되어 있는 건지요?,더블 미니 핫팩은 1PCS 에 두개가 포장되어 있으며 한 포장이라 해도 포장이 두개가 나뉘어 있어서 하나씩 따로 사용하실수 있답니다.
144,방금 주문했는데 당일 발송되지요,주문하신 상품 금일 정상 출고되오니 참고 부탁드립니다.
145,방금 주문했는데 내일 받을수 있나요?,주문하신 상품 금일 정상 출고되오니 참고 부탁드립니다.
146,미니 핫팩 총 40개 맞나요?,상세 설명 페이지 확인을 제품 스펙 확인은 부탁드립니다. 더블 미니 핫팩은 2개입 20매 총갯수 40개입니다.
147,넥워머성 인용 차콜은 언제 입고되나요?,넥워머 차콜은 이번년도 생산분이 모두소진되어 다음 시즌에 입고될 예정이에요.
148,늦어도 월요일엔 배송될 줄 알았는데 아직도 출고가 안 됐네요 언제 배송 출고되나여?,허리보호대 입고 완료되었어요. 기다려주신 만큼 이상 없는 제품으로 금일 정상 출고하겠습니다.
149,발핫팩은 언제 입고되겠죠,발 핫팩은 11/22일 출시 확정으로 구매 가능하오니 참고 부탁드립니다.
150,넥워머 차콜 언제 재입고됨?,ooo 넥 워머 제품은 원단수급에만 40일 정도가 소요됩니다. 원단수급 후 제품 제작까지는 많은 시일이 소요되어 이번 시즌 내 재출시는 어렵습니다.
151,히팅 서포터 허리형 재입고는 언제 됩니까?,히팅 서포터 허리보호대는 재입고는 다음 주 중반 이후가 될 것으로 예상되오니 참고 부탁드립니다.
152,군대에 있는 아이에게 언능보내고 싶은데 발전용 핫팩은 예약 불가인가요?,발 핫팩은 이번 주말이 지나면 구매 가능할 것으로 예상되며 예약은 불가하오니 참고 부탁드립니다.
153,이번 광화문 촛불집회 때 시민들에게 나누어드리고자 합니다 제가 금요일까지 받을수 있을까요?,주문하신 제품은 금일 정상 출고되었어요. 하지만 택배 사내 분류 및 배달과정에서 딜레이가 있을수는 있어요.
154,팔목 보호대나 무릎보호대는 한짝의 가격인가요?,ooo히팅 서포터는 1매입입니다. 양쪽으로 사용하시려면 2개 구입하셔야 합니다.
155,핫팩쓰다 보면 가루가 묻어나오던 데이건 안 묻어남?,우선 핫팩의 발열 원리에 대해 말씀드리자면 밀봉되어진 외부 봉투를 개봉하면서 부직포 내의 철 성분이 공기 중의 산소와 결합하여 일어나는 산화반응을 통해 발열이 되어집니다.
156,일반형 핫팩 파스형 핫팩 한 팩씩 사고 결제 완료했어요. 하자 없는 상품으로 보내주시고 오늘 출고되는 거죠?,주문하신 상품 빠짐없이 체크하여 보내드릴게요. 금일 정상 출고되오니 참고 부탁드립니다.
157,,
158,넥워머 차콜성 인용 언제 입고되지요,넥워머 차콜성 인용은 현재 품절입니다. 정확한 입고 일정은 확인되지 않았습니다.
159,발핫팩은 언제쯤 입고 되쥬?,ooo 발 난로형 핫팩은 11월 중순 이후부터 입고 예정이에요. 너그러이 이해 부탁드립니다.
160,,
161,허리밴드는 품절인데 언제 입고되나요?,현재 ooo 히팅 서포터는 품절 상태입니다. 정확한 입고 일정은 확인되지 않았습니다.
162,방금 구매했는데 배송은 언제 받을수 있나여?,주문하신 상품 금일 정상 출고되며 배송추적을 배송 도착은 통해 참고 부탁드립니다.
163,4번 미니 구매하고 싶은데요금방 따뜻해 지나여?,4번 더블 미니 핫팩의 발열은 사용법에 따라 조금 다르긴 하지만 일반형과 혹한기 핫팩 등과 같이 발열되는 시작은 비슷하며 핫팩의 용량 차이만 있답니다.
164,히팅 서포터 허리 찜질 보호대랑발 핫팩은 언제쯤 입고가 될까요?,허리보호대는 입고 예정일이 미정이며 발핫팩은 11월 중으로 입고 예정이니 참고 부탁드립니다.
165,발송 어느 택배인가요?,ooo은 oooo로 배송되어 집니다.
166,낼 받을수 있을까요?,주문하신 상품 금일 정상 출고되오나 배송추적을 배송 도착은 택배 사지연 등으로 통해 확인하실수 있으니 참고해 주세요.
167,ooo 파우치는 판매 안 하시져?,ooo핫 파우치는 현재 모두품절 상태입니다. 너그러이 이해 부탁드립니다.
168,,
169,인체에 무해 함?,KC인증을 유해물질 불검출로 받았으며 국제규격 ISO14001 인증을 받은 제품입니다.
170,군용이라고 하셨는데 그럼 혹시 군대에 보내줄수 있는 제품인가요?,저희는 oooo를 사용하고 있으며 전국 군부대로의 배송이 가능해요.
171,무릎 보호 대한개의 가격인가요?,무릎 보호대를 구매하시면 1개를 받아보실수 있어요. 무릎 양쪽으로 사용하시려 한다면 2개를 구매해 주시면 된답니다.
172,이제 11월인데 발핫팩은 아직 인가요?,발 핫팩은 현재 생산 중에 있으며 11월 중순 이전에 출시될 예정이에요.
173,,
174,배송사가 어디인가요?,ooo 제품은 oooo 택배로 발송되오니 참고 부탁드립니다.
175,현재 품절상품인 발핫팩하고 판매 중인 더블 미니 핫팩하고 차이점이 뭔가요?,부착을 더블 미니와 발핫팩의 첫 번째 차이점은 할수 있고 없고의 차이가 있어요.
176,허리 찜질 보호 대구매하려고 하는데 핫팩은 구성품에 포함되어 있나여?,히팅 서포터 허리보호대는 핫팩을 별도로 구매하셔야 하는 상품입니다. 삽입되는 핫팩의 종류는 일반형 핫팩이며 한 번에 3개까지 삽입이 가능한 점 참고 부탁드립니다.
177,,
178,발핫팩 11월 초 정도에는 주문 가능할까요?,우선 ooo 핫팩에 대한 관심에 감사드립니다. 현재 발난로형 핫팩은 11월 초에서 중순 사이에 출시되어 질 예정이에요.
179,발핫팩 언제 다시 입고 예정인 가요?,발 핫팩은 현재 생산 중에 있으며 11월 중으로 판매 시작될 예정이에요. 발 핫팩을 기다리게 해드리는 점 양해 부탁드려요.
180,6번 캠핑용은 10개 세트인 가요?,핫앤힛 압니다. 초대형 캠핑용은 10개가 한 셋트로 13 800원입니다.
181,,
182,발핫팩은 언제 재입고되죠?,현재 발핫팩이 생산되고 있어 재입고 예정은 10월 말 정도이니 구매에 참고 부탁드립니다.
183,,
184,방금 주문했는데 오늘 출고 가능한가요?,주문하신 제품은 금일 정상 출고 예정이에요.
185,점점 추워지는데 발난로 이번에 나오겠죠,문의 주 신발 난로 핫팩은 현재 생산 중에 있답니다. 이번 겨울에 사용하실수 있도록 최선을 다하고 있으니 시일이 조금 걸리는 점 양해 부탁드려요.
186,좀 전에 주문했는데 혹시 내일 받을수 있을까요?,주문하신 상품은 오늘 정상 출고 처리됨을 알려드리며 대부분 익일에 도착하지만 택배사의 사정으로 상품도착일이 늦어질수도 있는 점 양해 부탁드려요.
187,지금 구입해도 최근 제조일로 보내주시겠죠,현재 출고되는 제품은 모두2016년 8월 이후 생산된 신형 제품입니다.
188,,
189,,
190,발핫팩 언제 재입고됩니까?,ooo 핫 팩을 우선 언제나 구입해주셔서 깊이 감사드립니다. 다음 시즌에 제품 개선을 통해 좀 더 향상된 제품으로 출시하기 위하여 현재 발난로 형 제품은 추가 생산을 하지 않고 있어요.
191,,
192,게시판 확인도 안 할 거면서 왜 만든 거요?,우선 죄송하다는 말씀 먼저 드립니다. 게시판 확인을 미처 하지 못한 상태에서 제품이 출고되어 주소지 변경을 못해드렸습니다.
193,발송도 안 하고 송장등록만 해놓으셨나요?,주문하신 제품은 출고가 완료되어 현재 배달 중입니다. 주문량이 많아 출고가 조금 지연되었어요.
194,언제 배송됩니까?,주문하신 제품은 출고가 완료되어 현재 배달이 완료된 것으로 조회됩니다. 주문량이 많아 출고가 조금 지연되었어요.
195,,
196,물건마다 다를수잇나유?,ooo을 우선 언제나 구입해주셔서 감사드립니다. 현재 급작스런 추위로 인해 주문량이 급증하여 주문 순서대로 순차적으로 출고되고 있어요.
197,발핫팩 언제 입고 대니,현재 곰돌이 발핫팩 2016년형은 모두판매되어 품절입니다. 추워진 날씨로 인해 일반형 핫팩의 주문량이 급증하여 생산후 바로 출고되고 있어요.
198,배송문의 핫팩 총 3개 출고 예상 시간이 몇 시쯤인가요?,주문하신 제품은 금일 정상 출고되었어요.
199,손난로 만드는 업체가 바꼈나여?,현재 신형기계에서 생산된 제품으로 출고되고 있어요. 불량율을 더욱 줄이고 발열량을 더욱 높일수 있는 방법으로 제작되었어요.
200,군대로 군대에 있는 친구 보내주려 하는데 ooo oo로 배송이 되나여?,저희는 oooo내 물류센터에서 출고되기에 우체국발송은 불가합니다.
201,,
202,급해서요 지금방금 주문했는데요오늘 발송이 가능할 런지요?,주문하신 제품은 금일 정상 출고 예정이에요.
203,무릎 서포터 구매했는데 원래 한 개 들어 있음?,히팅 서포터 무릎용은 1개 입입니다. 양쪽으로 사용하시려면 2개 구입하셔야 합니다.
204,발핫팩 그림에는 품절인데 주문 옵션에는 결제까지 되는데 이거 상품이 오쥬?,죄송하게 도 발 난로형 핫팩은 현재 품절입니다. 너그러이 이해 부탁드립니다.
205,참 보통 몇 년까지 사용할수 있을까요?,주문하신 건은 오늘 중 정상 출고되어 내일 중 배달 예정이에요. 제조일자는 최근 생산된 제품이며 유통기한은 제조일로 3년입니다.
206,지금 결제했습니다 오늘 발송되지요,주문하신 건은 오늘 중 정상 출고되어 내일 중 배달 예정이에요. 오늘도 좋은 하루 되세요.
207,디자인이 바꼈지요,현재 신형기계에서 생산된 제품으로 출고되고 있어요. 불량율을 더욱 줄이고 발열량을 더욱 높일수 있는 방법으로 제작되었어요.
208,곰도리 발하팩 곰발바닥 언제쯤 살수 있나요?,ooo 곰도리 발 핫팩 2016년형은 모두판매되어 품절입니다. 다음 시즌에 보다 개선되 제품으로 찾아뵙겠습니다.
209,더블 미니 쓸 때 포장지를 개봉하고 하나를 먼저 쓰고 나중에 나머지 하나를 써도 괜찮은가요?,ooo 더블 미니형 핫팩은 2개가 따로따로 포장되어 하나씩 개봉해서 사용하시는 상품입니다.
